"stop_id","stop_name","stop_lat","stop_lon","location_type","platform_code"
"251822","Hans-Thoma-Straße","49.474745","8.5241231","0","B"
"251921","Lucas-Cranach-Straße","49.4784861","8.5125069","0","A"
"251922","Lucas-Cranach-Straße","49.4784511","8.5129389","0","B"
"252021","Maimarkt","49.4703439","8.5226669","0","A"
"252022","Maimarkt","49.4684519","8.5220569","0","B"
"252101","Duale Hochschule","49.4753811","8.534085","0","2"
"252102","Duale Hochschule","49.4752469","8.5345431","0","1"
"252201","Neuostheim","49.4777039","8.5225869","0","4"
"252202","Neuostheim","49.4774069","8.5232781","0","3"
"252203","Neuostheim","49.4777981","8.522685","0","2"
"252204","Neuostheim","49.4774711","8.5233319","0","1"
"252211","Neuostheim","49.47722","8.5234039","0","A"
"252212","Neuostheim","49.4773539","8.5231531","0","B"
"252213","Neuostheim","49.4774481","8.5228831","0","C"
"252214","Neuostheim","49.4775469","8.5225419","0","D"
"252215","Neuostheim","49.4775531","8.5224881","0","E"
"252301","Carl-Benz-Stadion","49.4778789","8.5022039","0","A"
"252302","Carl-Benz-Stadion","49.4778331","8.5022489","0","B"
"252311","Carl-Benz-Stadion","49.4779731","8.5019881","0","C"
"252312","Carl-Benz-Stadion","49.4777339","8.502455","0","D"
"252421","Schwindstraße","49.47844","8.5182931","0","A"
"252422","Schwindstraße","49.4783761","8.5189039","0","B"
"252501","Rheinau Bahnhof","49.424555","8.5347589","0","A"
"252502","Rheinau Bahnhof","49.424135","8.5351811","0","B"
"252511","Rheinau Bahnhof","49.4242219","8.535325","0","C"
"252512","Rheinau Bahnhof","49.4241111","8.5355039","0","D"
"252611","Chiemseestraße","49.4172331","8.5341839","0","A"
"252612","Chiemseestraße","49.4171111","8.5340761","0","B"
"252711","Faltkistenwerk","49.4213061","8.5116811","0","A"
"252712","Faltkistenwerk","49.4213469","8.5105939","0","B"
"252811","Fridtjof-Nansen-Weg","49.4127161","8.5408761","0","A"
"252911","Frobeniusstraße","49.4168831","8.5381989","0","A"
"252912","Frobeniusstraße","49.4167661","8.5379119","0","B"
"253011","Hallenweg","49.448115","8.5328631","0","B"
"253012","Hallenweg","49.4488861","8.535055","0","A"
