trip_id,arrival_time,departure_time,stop_sequence,stop_id
22-2-1022-41580,11:44:00,11:44:15,9,125202
22-2-1022-41580,11:45:00,11:45:15,10,125602
22-2-1022-41580,11:47:00,11:47:15,11,126102
22-2-1022-41580,11:49:00,11:49:15,12,69522
22-2-1022-41580,11:50:00,11:50:15,13,69702
22-2-1022-41580,11:52:00,11:52:15,14,69601
22-1-1-43320,12:02:00,12:02:15,1,69601
22-1-1-43320,12:04:00,12:04:15,2,69701
22-1-1-43320,12:05:00,12:05:15,3,69501
22-1-1-43320,12:07:00,12:08:15,4,126101
22-1-1-43320,12:09:00,12:09:15,5,125601
22-1-1-43320,12:10:00,12:10:15,6,125201
22-1-1-43320,12:11:00,12:11:15,7,427501
22-1-1-43320,12:12:00,12:12:15,8,427404
22-1-1-43320,12:13:00,12:13:15,9,427202
22-1-1-43320,12:15:00,12:15:15,10,679421
22-1-1-43320,12:16:00,12:16:15,11,679101
22-1-1-43320,12:18:00,12:18:15,12,119321
22-1-1-43320,12:20:00,12:20:15,13,116821
22-1-1-43320,12:21:00,12:21:15,14,114601
22-2-1022-48780,13:33:00,13:33:15,1,114602
22-2-1022-48780,13:34:00,13:34:15,2,116822
22-2-1022-48780,13:35:00,13:36:15,3,119322
22-2-1022-48780,13:37:00,13:37:15,4,679102
22-2-1022-48780,13:38:00,13:38:15,5,679422
22-2-1022-48780,13:40:00,13:40:15,6,427201
22-2-1022-48780,13:41:00,13:41:15,7,427403
22-2-1022-48780,13:43:00,13:43:15,8,427502
22-2-1022-48780,13:44:00,13:44:15,9,125202
22-2-1022-48780,13:45:00,13:45:15,10,125602
22-2-1022-48780,13:47:00,13:47:15,11,126102
22-2-1022-48780,13:49:00,13:49:15,12,69522
22-2-1022-48780,13:50:00,13:50:15,13,69702
22-2-1022-48780,13:52:00,13:52:15,14,69601
22-1-1-50520,14:02:00,14:02:15,1,69601
22-1-1-50520,14:04:00,14:04:15,2,69701
22-1-1-50520,14:05:00,14:05:15,3,69501
22-1-1-50520,14:07:00,14:08:15,4,126101
22-1-1-50520,14:09:00,14:09:15,5,125601
22-1-1-50520,14:10:00,14:10:15,6,125201
22-1-1-50520,14:11:00,14:11:15,7,427501
22-1-1-50520,14:12:00,14:12:15,8,427404
22-1-1-50520,14:13:00,14:13:15,9,427202
22-1-1-50520,14:15:00,14:15:15,10,679421
22-1-1-50520,14:16:00,14:16:15,11,679101
22-1-1-50520,14:18:00,14:18:15,12,119321
22-1-1-50520,14:20:00,14:20:15,13,116821
22-1-1-50520,14:21:00,14:21:15,14,114601
22-2-1022-55980,15:33:00,15:33:15,1,114602
22-2-1022-55980,15:34:00,15:34:15,2,116822
22-2-1022-55980,15:35:00,15:36:15,3,119322
22-2-1022-55980,15:37:00,15:37:15,4,679102
22-2-1022-55980,15:38:00,15:38:15,5,679422
22-2-1022-55980,15:40:00,15:40:15,6,427201
22-2-1022-55980,15:41:00,15:41:15,7,427403
22-2-1022-55980,15:43:00,15:43:15,8,427502
22-2-1022-55980,15:44:00,15:44:15,9,125202
22-2-1022-55980,15:45:00,15:45:15,10,125602
22-2-1022-55980,15:47:00,15:47:15,11,126102
22-2-1022-55980,15:49:00,15:49:15,12,69522
22-2-1022-55980,15:50:00,15:50:15,13,69702
22-2-1022-55980,15:52:00,15:52:15,14,69601
22-1-1-57720,16:02:00,16:02:15,1,69601
22-1-1-57720,16:04:00,16:04:15,2,69701
22-1-1-57720,16:05:00,16:05:15,3,69501
22-1-1-57720,16:07:00,16:08:15,4,126101
22-1-1-57720,16:09:00,16:09:15,5,125601
22-1-1-57720,16:10:00,16:10:15,6,125201
22-1-1-57720,16:11:00,16:11:15,7,427501
22-1-1-57720,16:12:00,16:12:15,8,427404
22-1-1-57720,16:13:00,16:13:15,9,427202
22-1-1-57720,16:15:00,16:15:15,10,679421
22-1-1-57720,16:16:00,16:16:15,11,679101
22-1-1-57720,16:18:00,16:18:15,12,119321
22-1-1-57720,16:20:00,16:20:15,13,116821
22-1-1-57720,16:21:00,16:21:15,14,114601
22-2-1022-63180,17:33:00,17:33:15,1,114602
22-2-1022-63180,17:34:00,17:34:15,2,116822
22-2-1022-63180,17:35:00,17:36:15,3,119322
22-2-1022-63180,17:37:00,17:37:15,4,679102
22-2-1022-63180,17:38:00,17:38:15,5,679422
22-2-1022-63180,17:40:00,17:40:15,6,427201
22-2-1022-63180,17:41:00,17:41:15,7,427403
22-2-1022-63180,17:43:00,17:43:15,8,427502
22-2-1022-63180,17:44:00,17:44:15,9,125202
22-2-1022-63180,17:45:00,17:45:15,10,125602
22-2-1022-63180,17:47:00,17:47:15,11,126102
22-2-1022-63180,17:49:00,17:49:15,12,69522
22-2-1022-63180,17:50:00,17:50:15,13,69702
22-2-1022-63180,17:52:00,17:52:15,14,69601
22-1-1-64920,18:02:00,18:02:15,1,69601
22-1-1-64920,18:04:00,18:04:15,2,69701
22-1-1-64920,18:05:00,18:05:15,3,69501
