route_id,trip_id,service_id,trip_short_name,start_time,end_time
22-851-22,22-851-1-60840,309,22,16:54:00,17:11:00
22-852-22,22-852-3022-66180,309,22,18:23:00,18:51:00
22-851-22,22-851-1-68040,309,22,18:54:00,19:11:00
22-852-22,22-852-3022-73380,309,22,20:23:00,20:51:00
22-853-22,22-853-4-75180,309,22,20:53:00,21:08:00
22-852-22,22-852-3022-20580,309,22,05:43:00,06:11:00
22-851-22,22-851-1-22440,309,22,06:14:00,06:31:00
22-852-22,22-852-3022-27780,309,22,07:43:00,08:11:00
22-851-22,22-851-1-29640,309,22,08:14:00,08:31:00
22-852-22,22-852-3022-34980,309,22,09:43:00,10:11:00
22-851-22,22-851-1-36840,309,22,10:14:00,10:31:00
22-852-22,22-852-3022-42180,309,22,11:43:00,12:11:00
22-851-22,22-851-1-44040,309,22,12:14:00,12:31:00
22-852-22,22-852-3022-49380,309,22,13:43:00,14:11:00
22-851-22,22-851-1-51240,309,22,14:14:00,14:31:00
22-852-22,22-852-3022-56580,309,22,15:43:00,16:11:00
22-851-22,22-851-1-58440,309,22,16:14:00,16:31:00
22-852-22,22-852-3022-63780,309,22,17:43:00,18:11:00
22-851-22,22-851-1-65640,309,22,18:14:00,18:31:00
22-852-22,22-852-3022-70980,309,22,19:43:00,20:11:00
22-851-22,22-851-1-72840,309,22,20:14:00,20:31:00
22-852-22,22-852-3022-24180,309,22,06:43:00,07:11:00
22-851-22,22-851-1-26040,309,22,07:14:00,07:31:00
22-852-22,22-852-3022-31380,309,22,08:43:00,09:11:00
22-851-22,22-851-1-33240,309,22,09:14:00,09:31:00
22-852-22,22-852-3022-38580,309,22,10:43:00,11:11:00
22-851-22,22-851-1-40440,309,22,11:14:00,11:31:00
22-852-22,22-852-3022-45780,309,22,12:43:00,13:11:00
22-851-22,22-851-1-47640,309,22,13:14:00,13:31:00
22-852-22,22-852-3022-52980,309,22,14:43:00,15:11:00
22-851-22,22-851-1-54840,309,22,15:14:00,15:31:00
22-852-22,22-852-3022-60180,309,22,16:43:00,17:11:00
22-851-22,22-851-1-62040,309,22,17:14:00,17:31:00
22-852-22,22-852-3022-67380,309,22,18:43:00,19:11:00
22-851-22,22-851-1-69240,309,22,19:14:00,19:31:00
22-102-22,22-102-1-17520,300-307,22,04:52:00,05:07:00
22-1-22,22-1-1-18720,300-307,22,05:12:00,05:31:00
22-2-22,22-2-1022-19200,300-307,22,05:20:00,05:39:00
22-121-22,22-121-4-73920,300-307,22,20:32:00,20:48:00
22-102-22,22-102-1-21120,300-307,22,05:52:00,06:07:00
22-102-22,22-102-1-31020,300-307,22,08:37:00,08:52:00
22-2-22,22-2-2022-26580,301-306-308,22,07:23:00,07:40:00
22-2-22,22-2-2022-35580,301-306-308,22,09:53:00,10:10:00
22-2-22,22-2-2022-42780,301-306-308,22,11:53:00,12:10:00
22-2-22,22-2-2022-49980,301-306-308,22,13:53:00,14:10:00
22-2-22,22-2-2022-57180,301-306-308,22,15:53:00,16:10:00
22-2-22,22-2-2022-64380,301-306-308,22,17:53:00,18:10:00
22-2-22,22-2-2022-71580,301-306-308,22,19:53:00,20:10:00
22-2-22,22-2-2022-28380,301-306-308,22,07:53:00,08:10:00
22-2-22,22-2-2022-36780,301-306-308,22,10:13:00,10:30:00
22-2-22,22-2-2022-43980,301-306-308,22,12:13:00,12:30:00
22-2-22,22-2-2022-51180,301-306-308,22,14:13:00,14:30:00
22-2-22,22-2-2022-58380,301-306-308,22,16:13:00,16:30:00
22-2-22,22-2-2022-65580,301-306-308,22,18:13:00,18:30:00
22-2-22,22-2-2022-72780,301-306-308,22,20:13:00,20:30:00
22-2-22,22-2-2022-24780,301-306-308,22,06:53:00,07:10:00
22-2-22,22-2-2022-33780,301-306-308,22,09:23:00,09:40:00
22-2-22,22-2-2022-37980,301-306-308,22,10:33:00,10:50:00
22-2-22,22-2-2022-45180,301-306-308,22,12:33:00,12:50:00
22-2-22,22-2-2022-52380,301-306-308,22,14:33:00,14:50:00
22-2-22,22-2-2022-59580,301-306-308,22,16:33:00,16:50:00
22-2-22,22-2-2022-66780,301-306-308,22,18:33:00,18:50:00
22-2-22,22-2-2022-73980,301-306-308,22,20:33:00,20:50:00
22-102-22,22-102-5-24840,301-306-308,22,06:54:00,07:07:00
22-2-22,22-2-2022-31980,301-306-308,22,08:53:00,09:10:00
22-2-22,22-2-2022-40380,301-306-308,22,11:13:00,11:30:00
22-2-22,22-2-2022-47580,301-306-308,22,13:13:00,13:30:00
22-2-22,22-2-2022-54780,301-306-308,22,15:13:00,15:30:00
22-2-22,22-2-2022-61980,301-306-308,22,17:13:00,17:30:00
22-2-22,22-2-2022-69180,301-306-308,22,19:13:00,19:30:00
22-2-22,22-2-2022-30180,301-306-308,22,08:23:00,08:40:00
22-2-22,22-2-2022-39180,301-306-308,22,10:53:00,11:10:00
22-2-22,22-2-2022-46380,301-306-308,22,12:53:00,13:10:00
22-2-22,22-2-2022-53580,301-306-308,22,14:53:00,15:10:00
22-2-22,22-2-2022-60780,301-306-308,22,16:53:00,17:10:00
22-2-22,22-2-2022-67980,301-306-308,22,18:53:00,19:10:00
22-2-22,22-2-2022-41580,301-306-308,22,11:33:00,11:50:00
22-2-22,22-2-2022-48780,301-306-308,22,13:33:00,13:50:00
22-2-22,22-2-2022-55980,301-306-308,22,15:33:00,15:50:00
22-2-22,22-2-2022-63180,301-306-308,22,17:33:00,17:50:00
22-2-22,22-2-2022-70380,301-306-308,22,19:33:00,19:50:00
